"","mDCs","Macrophages","Mast","Monocytes"
"2x39",0.320663561773262,0.0697398739498703,0.502521377028119,0.107075187248749
"2x40",0.429783257309936,0.0191219077881107,0.416925425266878,0.134169409635074
"2x41",0.423384738513261,0.0774714214902111,0.389936565794773,0.109207274201755
"2x42",0.338071053975367,0.114964588539551,0.44599988341857,0.100964474066513
"2x43",0.485553272470897,0.0516544162541559,0.350647735038292,0.112144576236655
"2x44",0.363556256331013,0.0397602918507476,0.475779850801189,0.12090360101705
"2x45",0.301834894639251,0.110520843221652,0.47466250437272,0.112981757766377
"2x46",0.408285927757448,0.0691622294664418,0.40280119251019,0.119750650265921
"2x47",0.447585349031165,0.109238311360382,0.371435641200417,0.0717406984080362
"2x48",0.370365869028153,0.0879170909614351,0.439037942003542,0.10267909800687
"2x49",0.473499340603004,0.0765940068424881,0.320437680150564,0.129468972403944
"3x0",0.462496055462874,0.0473675932277073,0.398382030164675,0.091754321144744
"3x1",0.277869267615329,0.00414917767904414,0.574201064783674,0.143780489921953
"3x2",0.543120063020742,0.0136610399929693,0.384569733971803,0.0586491630144852
"3x3",0.460816369485978,0,0.496922928801382,0.0422607017126405
"3x4",0.419212448180079,0.0367225348455787,0.421367084373697,0.122697932600645
"3x5",0.411299160095805,0.0157465074313602,0.527774121046131,0.0451802114267047
"3x6",0.369779894095943,0,0.482729337621924,0.147490768282133
"3x7",0.420704790531994,0,0.481711937776493,0.0975832716915128
"3x8",0.47336311557263,0.0510920937012118,0.365742359010531,0.109802431715627
"3x9",0.339771202543609,0.0418287366449366,0.510188239587163,0.108211821224292
"3x10",0.314537958223827,0.0579831765330057,0.488587235740473,0.138891629502694
"3x11",0.414347116852545,0.00127216718544534,0.514340116933096,0.0700405990289134
"3x12",0.469718785097887,0,0.449762455591735,0.0805187593103788
"3x13",0.406024760685659,0.0142833705141522,0.499762703859739,0.0799291649404499
"3x14",0.427369484260319,0.0423653982001821,0.469310386733452,0.0609547308060469
"3x15",0.305392703257583,0,0.505511700730888,0.189095596011529
