,r,reference,method
11x25,0.959188330686782,Internal,stsc
11x26,0.9226541607882729,Internal,stsc
11x27,0.9876207297471138,Internal,stsc
11x28,0.7038359659751343,Internal,stsc
11x29,0.7087297709192388,Internal,stsc
11x30,0.8011602969281137,Internal,stsc
11x31,0.8247783820943376,Internal,stsc
11x32,0.7204243465831229,Internal,stsc
11x33,0.8733990892892598,Internal,stsc
11x34,0.9493738941597298,Internal,stsc
11x35,0.819181155353982,Internal,stsc
11x36,0.6671213794751227,Internal,stsc
11x37,0.8343239367719645,Internal,stsc
11x38,0.9440502502923231,Internal,stsc
11x39,0.99141307664421,Internal,stsc
11x40,0.8950774083273149,Internal,stsc
11x41,0.8162115847521068,Internal,stsc
11x42,0.7893547571373498,Internal,stsc
11x43,0.9258402313203993,Internal,stsc
11x44,0.8240786426101139,Internal,stsc
11x45,0.8657963314518456,Internal,stsc
11x46,0.24371599402652355,Internal,stsc
11x47,0.6934480154604614,Internal,stsc
11x48,0.5751159310774562,Internal,stsc
11x49,0.736108483032686,Internal,stsc
12x0,0.9612944994619304,Internal,stsc
12x1,0.9566005185641,Internal,stsc
12x2,1.0,Internal,stsc
12x3,1.0,Internal,stsc
12x4,1.0,Internal,stsc
12x5,1.0,Internal,stsc
12x6,0.9672534030000225,Internal,stsc
12x7,0.8890482894400593,Internal,stsc
12x8,0.9999999999999999,Internal,stsc
12x9,1.0,Internal,stsc
12x10,1.0,Internal,stsc
12x11,1.0,Internal,stsc
12x12,1.0,Internal,stsc
12x13,1.0,Internal,stsc
12x14,1.0,Internal,stsc
12x15,0.9999999999999999,Internal,stsc
12x16,1.0,Internal,stsc
12x17,1.0,Internal,stsc
12x18,1.0,Internal,stsc
12x19,0.9877383911758603,Internal,stsc
12x20,0.9449419077058914,Internal,stsc
12x21,0.9433026867856579,Internal,stsc
12x22,0.9763078571704874,Internal,stsc
12x23,0.9007649463492962,Internal,stsc
12x24,0.962266656452569,Internal,stsc
12x25,0.911620037809038,Internal,stsc
12x26,0.5673015951689033,Internal,stsc
12x27,0.7967198911422174,Internal,stsc
12x28,0.7176008409087254,Internal,stsc
12x29,0.7377592519985392,Internal,stsc
12x30,0.834193859022957,Internal,stsc
12x31,0.8236681564656568,Internal,stsc
12x32,0.7968165911828511,Internal,stsc
12x33,0.7109362208911171,Internal,stsc
12x34,0.9630944205150918,Internal,stsc
12x35,0.958952742004104,Internal,stsc
12x36,0.9218684216384048,Internal,stsc
12x37,0.9154630595359285,Internal,stsc
12x38,0.8803087534668326,Internal,stsc
12x39,0.5950986537807036,Internal,stsc
12x40,0.892563660330347,Internal,stsc
12x41,0.9386945060543737,Internal,stsc
12x42,0.9451297295123294,Internal,stsc
12x43,0.9028774541849943,Internal,stsc
12x44,0.8875482773240646,Internal,stsc
12x45,0.9749258312099003,Internal,stsc
12x46,0.8420645168409839,Internal,stsc
12x47,0.5255828545204597,Internal,stsc
12x48,0.7824437000230049,Internal,stsc
12x49,0.9840212824048329,Internal,stsc
13x0,0.9964757529376727,Internal,stsc
