"","cell_ID","Ductal","Cancer","Stroma"
"250","4x49",0.310247353097588,0.19915598785911,0.490596659043302
"251","5x0",0.241277131831665,0.758722868168335,0
"252","5x1",0,0.765331306579665,0.234668693420335
"253","5x2",0,1,0
"254","5x3",0,1,0
"255","5x4",0,1,0
"256","5x5",0,1,0
"257","5x6",0,1,0
"258","5x7",0,1,0
"259","5x8",0,1,0
"260","5x9",0,1,0
"261","5x10",0,1,0
"262","5x11",0,1,0
"263","5x12",0,1,0
"264","5x13",0,1,0
"265","5x14",0,1,0
"266","5x15",0,1,0
"267","5x16",0,1,0
"268","5x17",0,1,0
"269","5x18",0.256135376637233,0.435163965164782,0.308700658197985
"270","5x19",0,0.840424190492109,0.159575809507891
"271","5x20",0,0.788792894778813,0.211207105221187
"272","5x21",0,1,0
"273","5x22",0,0.590209744314802,0.409790255685198
"274","5x23",0,0.446715603620876,0.553284396379124
"275","5x24",0,0.380523117865423,0.619476882134577
"276","5x25",0,0.36727228227869,0.63272771772131
"277","5x26",0,0.424943372424767,0.575056627575233
"278","5x27",0.233806817112395,0.391975428998079,0.374217753889527
"279","5x28",0,0.293058420417949,0.706941579582051
"280","5x29",0,0.290149894093498,0.709850105906502
"281","5x30",0,0.403070254678776,0.596929745321224
"282","5x31",0.102570221945038,0.216032184923117,0.681397593131845
"283","5x32",0.279341780248788,0.312754343113589,0.407903876637623
"284","5x33",0.243737135442619,0.277515374053041,0.47874749050434
"285","5x34",0.200943823560272,0,0.799056176439728
"286","5x35",0.10090054889384,0.189403371757184,0.709696079348976
"287","5x36",0.130116398813912,0.324403174565724,0.545480426620363
"288","5x37",0,0.198795847613331,0.801204152386669
"289","5x38",0.280216207895663,0.111315274567146,0.608468517537191
"290","5x39",0.242245700409259,0.213348788201814,0.544405511388927
"291","5x40",0,0.356287247272612,0.643712752727388
"292","5x41",0,0.290077460848905,0.709922539151095
"293","5x42",0.230952436486567,0,0.769047563513433
"294","5x43",0.169902810710869,0,0.830097189289131
"295","5x44",0.24421402953084,0.17804845741273,0.57773751305643
"296","5x45",0.286529632999052,0.145875252244184,0.567595114756764
"297","5x46",0.312322419308661,0.214684872554409,0.472992708136929
"298","5x47",0.139668833042187,0.305205320657779,0.555125846300034
"299","5x48",0.125803164258341,0.280956313354838,0.593240522386821
"300","5x49",0.395315852639292,0.342473924845675,0.262210222515034
"301","6x0",0.118882653836547,0.881117346163453,0
"302","6x1",0,0.809753662750229,0.190246337249771
"303","6x2",0,1,0
"304","6x3",0,1,0
"305","6x4",0,1,0
"306","6x5",0,1,0
"307","6x6",0,0.76297446472283,0.23702553527717
"308","6x7",0,0.375003032577648,0.624996967422352
"309","6x8",0,1,0
"310","6x9",0,1,0
