,in_tissue,array_row,array_col,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,pct_counts_in_top_50_genes,pct_counts_in_top_100_genes,pct_counts_in_top_200_genes,pct_counts_in_top_500_genes,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,n_counts,region_ind,E,M,S,B cells memory,B cells naive,Dendritic cells activated,Dendritic cells resting,Eosinophils,Macrophages M0,Macrophages M1,Macrophages M2,Mast cells activated,Mast cells resting,Monocytes,Neutrophils,NK cells activated,NK cells resting,Plasma cells,T cells CD4 memory activated,T cells CD4 memory resting,T cells regulatory (Tregs),T cells CD4 naive,T cells CD8,T cells follicular helper,T cells gamma delta,MixtureType
27x35,1,35,27,1576,7.3632795869630385,2854.0,7.956827,23.02032235459005,33.25157673440785,44.84933426769446,62.29852838121934,82.0,4.4188404,2.8731606,2854.0,1,0.2834876430901912,0.0006445730701449855,0.7158677838396638,10.1,0.0,0.0,0.0,0.4,0.8,4.3,8.4,0.0,6.1,0.0,2.3,4.2,0.5,9.6,1.5,0.0,5.7,9.8,2.3,1.1,4.6,Stroma
41x65,1,65,41,6846,8.831565879121063,42927.0,10.667279,25.534046171407272,37.004682367740585,46.39038367461038,58.869709040929955,203.0,5.31812,0.47289586,42927.0,0,0.003982987029813932,0.9956325619200601,0.0003844510501259478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
89x27,1,27,89,6920,8.842315546841863,43752.0,10.686316,24.627445602486745,36.8371731577985,46.74529164381057,58.98701773633205,547.0,6.3062754,1.2502285,43752.0,0,0.003885076031188296,0.9957076472614871,0.00040727670732463363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
31x63,1,63,31,6754,8.818038250394299,41922.0,10.64359,26.988216211058635,39.18467630361147,48.35885692476504,60.23567577882735,204.0,5.32301,0.486618,41922.0,0,0.0064684836939960895,0.9931425228858356,0.000388993420168271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
67x67,1,67,67,3766,8.23403420769204,13783.0,9.531263,27.708046143800335,38.21374156569687,49.735181020097215,64.00638467677574,212.0,5.3612924,1.5381266,13783.0,isolated,0.06713850858510269,0.0005590250536435266,0.9323024663612537,13.5,0.0,0.0,2.8,4.1,5.7,0.8,10.9,5.9,0.0,22.2,0.0,0.0,5.2,3.8,3.6,0.0,1.2,0.0,13.5,0.0,0.0,Stroma
64x62,1,62,64,1109,7.01211529430638,2090.0,7.6453977,27.84688995215311,40.76555023923445,52.96650717703349,70.86124401913875,38.0,3.6635616,1.8181818,2090.0,isolated,0.00041280998729016546,0.17882764929020098,0.8207595407225089,0.0,10.4,0.5,8.3,0.0,5.2,1.5,0.0,5.6,0.0,14.0,0.0,0.0,9.7,0.0,7.8,19.0,0.0,0.0,0.0,0.0,0.0,Stroma
43x49,1,49,43,5287,8.573195381531523,23395.0,10.06032,25.45843128873691,38.00384697584954,47.86920282111563,60.34195340884805,376.0,5.9322453,1.607181,23395.0,0,0.00037354727640268785,0.961169986432498,0.03845646629109941,0.0,0.1,0.0,2.1,0.1,0.4,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,Pure Mes.
48x56,1,56,48,7109,8.869257522797287,56511.0,10.942208,29.334111942807596,42.58285997416432,52.25000442391746,63.90260303303782,176.0,5.17615,0.3114438,56511.0,0,0.006445471921433703,0.9931090037359263,0.0004455243426400366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
58x46,1,46,58,2967,7.995643604287271,8509.0,9.048997,24.29192619579269,37.3134328358209,48.619109178516865,62.463274180279704,188.0,5.241747,2.2094254,8509.0,1,0.0005408842646278943,0.6437796592037562,0.355679456531616,0.1,0.1,0.0,19.0,0.0,0.2,1.9,0.0,13.0,0.0,0.2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.6,0.0,0.1,0.1,MS Mixture
9x29,1,29,9,1040,6.947937068614969,1678.0,7.425954,23.301549463647202,33.730631704410015,46.841477949940405,67.81883194278903,31.0,3.465736,1.8474374,1678.0,1,0.00021845919401181256,0.00039630924403562115,0.9993852315619526,0.0,22.0,4.1,3.0,0.0,0.0,2.1,3.5,0.0,3.3,0.0,6.3,5.1,0.0,24.4,6.1,0.0,0.0,8.2,10.7,0.3,0.8,Stroma
1x47,1,47,1,1035,6.943122422819428,1821.0,7.50769,27.51235584843493,39.31905546403075,52.16913783635365,70.62053816584294,46.0,3.8501477,2.5260844,1821.0,1,0.00047303842091279036,0.7268876035819086,0.2726393579971786,0.0,2.6,0.4,0.0,0.8,0.0,2.3,2.4,0.0,2.8,0.7,2.2,1.1,0.0,0.6,2.4,0.0,0.0,2.7,3.3,2.6,0.3,MS Mixture
88x44,1,44,88,7129,8.872066513408342,50832.0,10.836301,26.209867799811143,38.74921309411394,48.23339628580422,60.08616619452314,280.0,5.638355,0.5508341,50832.0,0,0.00021269812656291758,0.9995746037469295,0.0002126981265076244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
3x59,1,59,3,3898,8.268475388982598,10915.0,9.297985,21.300961978928083,31.809436555199266,41.24599175446633,54.91525423728814,145.0,4.983607,1.3284471,10915.0,isolated,0.0005156665373594458,0.8678893291391907,0.13159500432344984,2.2,0.0,0.0,1.4,0.2,0.1,0.0,0.0,2.0,0.0,1.5,0.2,0.0,2.3,1.0,0.0,0.0,0.7,1.1,0.3,0.0,0.0,MS Mixture
19x51,1,51,19,1988,7.5953872788539725,4286.0,8.363342,24.335044330377976,35.74428371441904,46.0569295380308,62.43583761082594,128.0,4.8598123,2.9864676,4286.0,1,0.00031452440887852647,0.6154029418620538,0.38428253372906773,5.2,0.0,1.4,5.9,0.0,0.0,1.4,0.0,2.3,0.0,6.4,0.0,0.0,4.8,3.0,0.0,0.0,3.8,4.1,0.1,0.0,0.0,MS Mixture
8x68,1,68,8,6327,8.75273950944749,34311.0,10.443251,25.796391827693743,38.05776573110664,47.73979190347119,59.741773775174146,634.0,6.453625,1.847804,34311.0,0,0.00039669624343220667,0.9653916592035933,0.03421164455297447,0.0,0.0,0.0,1.7,0.1,0.0,0.3,0.0,0.1,0.0,0.7,0.0,0.0,0.2,0.0,0.0,0.1,0.1,0.0,0.2,0.0,0.0,Pure Mes.
