,r,reference,method
10x27,0.9591375244668404,Internal,stereoscope
10x28,0.9765919351574102,Internal,stereoscope
10x29,0.9458172035851191,Internal,stereoscope
10x30,0.9997690196867022,Internal,stereoscope
10x31,0.9537395875283381,Internal,stereoscope
10x32,0.9997476294778693,Internal,stereoscope
10x33,0.09246743440684092,Internal,stereoscope
10x34,0.9953778369942308,Internal,stereoscope
10x35,0.9993746793541857,Internal,stereoscope
10x36,0.9219139336514663,Internal,stereoscope
10x37,0.37009992874115905,Internal,stereoscope
10x38,0.9978622283172766,Internal,stereoscope
10x39,0.9999114230223973,Internal,stereoscope
10x40,0.9639613071665585,Internal,stereoscope
10x41,0.9936880561628105,Internal,stereoscope
10x42,0.9982550924341255,Internal,stereoscope
10x43,0.7732532436343879,Internal,stereoscope
10x44,0.45678470251180814,Internal,stereoscope
10x45,0.9825707654591697,Internal,stereoscope
10x46,0.6920908292207095,Internal,stereoscope
10x47,0.9724019975140773,Internal,stereoscope
10x48,0.9658033752008397,Internal,stereoscope
10x49,0.9955943510154838,Internal,stereoscope
11x0,0.9964149146632286,Internal,stereoscope
11x1,0.9998945718183149,Internal,stereoscope
11x2,0.9999997933034261,Internal,stereoscope
11x3,0.9999999344633091,Internal,stereoscope
11x4,1.0,Internal,stereoscope
11x5,1.0,Internal,stereoscope
11x6,1.0,Internal,stereoscope
11x7,0.9974818164396234,Internal,stereoscope
11x8,0.9999928348546816,Internal,stereoscope
11x9,0.9999253978008247,Internal,stereoscope
11x10,1.0,Internal,stereoscope
11x11,0.9999999999933621,Internal,stereoscope
11x12,1.0,Internal,stereoscope
11x13,0.9998900186039854,Internal,stereoscope
11x14,1.0,Internal,stereoscope
11x15,0.9999171770125485,Internal,stereoscope
11x16,0.9999997387650983,Internal,stereoscope
11x17,0.9997131442792109,Internal,stereoscope
11x18,1.0,Internal,stereoscope
11x19,0.9889598598174024,Internal,stereoscope
11x20,0.9853511157581369,Internal,stereoscope
11x21,0.9964123468606036,Internal,stereoscope
11x22,0.8485848968860408,Internal,stereoscope
11x23,0.9810298554670919,Internal,stereoscope
11x24,0.8667152698463273,Internal,stereoscope
11x25,0.9659762385799593,Internal,stereoscope
