"","mDCs","Macrophages","Mast","Monocytes","coordX","coordY"
"5x25",0.44363035189866,0.203927670451647,0.129163115445539,0.223278862204155,5,25
"5x26",0.346674574982919,0.126736167747959,0.139592053100658,0.386997204168465,5,26
"5x27",0.404361192566399,0.198614961434683,0.164573413100358,0.23245043289856,5,27
"5x28",0.403777772079841,0.171357757478692,0.141755192444991,0.283109277996476,5,28
"5x29",0.395807898736853,0.156274063122744,0.175078010569261,0.272840027571142,5,29
"5x30",0.385360121274107,0.222395795150774,0.150915058043962,0.241329025531157,5,30
"5x31",0.397467413312192,0.251051238278587,0.132011414017908,0.219469934391314,5,31
"5x32",0.359766898285851,0.236350158542891,0.19463018437188,0.209252758799377,5,32
"5x33",0.356870378201443,0.215681274109555,0.156312057520706,0.271136290168295,5,33
"5x34",0.386730470982578,0.189495506887214,0.193683101374883,0.230090920755325,5,34
"5x35",0.401693929398328,0.206070113633648,0.15060202495259,0.241633932015433,5,35
"5x36",0.378268147905001,0.233445634591087,0.140088765048023,0.248197452455889,5,36
"5x37",0.364912399991246,0.190875287505853,0.12775456187319,0.316457750629711,5,37
"5x38",0.327623252928993,0.212312654321163,0.132382967490764,0.32768112525908,5,38
"5x39",0.365373002291874,0.187360660055334,0.17478899265665,0.272477344996143,5,39
"5x40",0.370821903266926,0.193051784844393,0.133272509936748,0.302853801951932,5,40
"5x41",0.445338025650082,0.21301694501384,0.112317933417306,0.229327095918772,5,41
"5x42",0.403897149551006,0.217857355870922,0.100307216483198,0.277938278094874,5,42
"5x43",0.380711636648121,0.216591071060128,0.112764153357012,0.289933138934739,5,43
"5x44",0.461523519387905,0.201810592701738,0.130124331426018,0.206541556484338,5,44
"5x45",0.423118238475712,0.222930990940147,0.146482506761886,0.207468263822255,5,45
"5x46",0.315082503220263,0.214233152441424,0.216471999060659,0.254212345277654,5,46
"5x47",0.365039162606484,0.20209607852001,0.149829300309249,0.283035458564257,5,47
"5x48",0.420237656538065,0.215553142852546,0.145070065788641,0.219139134820747,5,48
"5x49",0.319733636948359,0.192687769148849,0.187405415232622,0.30017317867017,5,49
"6x0",0.375629283973222,0.146115528329949,0.181727532265301,0.296527655431528,6,0
"6x1",0.42954503182743,0.159726900954021,0.189964660235617,0.220763406982933,6,1
"6x2",0.365057999103956,0.189713313424441,0.237106362655559,0.208122324816044,6,2
"6x3",0.40822599083438,0.174861456751171,0.201042014948033,0.215870537466416,6,3
"6x4",0.378833268739384,0.150755785878994,0.237851594068839,0.232559351312784,6,4
"6x5",0.428980297694247,0.148532590654259,0.202809230700751,0.219677880950742,6,5
"6x6",0.329319451163706,0.222956994876908,0.157946156096244,0.289777397863141,6,6
"6x7",0.416421507470382,0.141954171659975,0.185811005130811,0.255813315738832,6,7
"6x8",0.436412567580337,0.136771158931826,0.190149490844753,0.236666782643084,6,8
"6x9",0.452154217082162,0.1700935719997,0.179513714333586,0.198238496584552,6,9
"6x10",0.422140366676031,0.161049850694044,0.182419803009304,0.234389979620621,6,10
"6x11",0.416329479385997,0.141429007784844,0.204563078948996,0.237678433880163,6,11
"6x12",0.39980392388669,0.170381314348951,0.196923705676894,0.232891056087465,6,12
"6x13",0.384947491820075,0.195716767486817,0.21813976669407,0.201195973999038,6,13
"6x14",0.365249731438423,0.180732095139269,0.141917260718404,0.312100912703904,6,14
"6x15",0.436083293470361,0.1544309368537,0.181552360672715,0.227933409003223,6,15
"6x16",0.403856707594144,0.185285811823081,0.183016575124456,0.227840905458319,6,16
"6x17",0.427817276570082,0.163284763369446,0.197694214672231,0.211203745388241,6,17
"6x18",0.449030603929982,0.176494373808917,0.143941644826877,0.230533377434225,6,18
"6x19",0.38636270470956,0.1152531608658,0.239470853859816,0.258913280564824,6,19
"6x20",0.433337417484175,0.134965480670404,0.18783410155304,0.243863000292382,6,20
"6x21",0.321486571129651,0.193093734651917,0.165596470720506,0.319823223497926,6,21
"6x22",0.435008134106744,0.217374603037469,0.172736875951101,0.174880386904686,6,22
"6x23",0.440524108314297,0.186691964174813,0.162458438832824,0.210325488678067,6,23
"6x24",0.385903190578664,0.189083344585585,0.158473313443193,0.266540151392557,6,24
"6x25",0.377003602281786,0.202453951721464,0.17078202113389,0.24976042486286,6,25
"6x26",0.412417155203191,0.181027102634445,0.152255601017069,0.254300141145295,6,26
"6x27",0.411354830360977,0.225463343814918,0.125674994668641,0.237506831155464,6,27
"6x28",0.34262989707839,0.216533157851105,0.157719730943727,0.283117214126778,6,28
"6x29",0.312521290727816,0.181159950539261,0.253361803093788,0.252956955639135,6,29
"6x30",0.421169489002434,0.221465482438062,0.133056747384448,0.224308281175055,6,30
"6x31",0.458429091055447,0.187530356481196,0.123194446502055,0.230846105961302,6,31
"6x32",0.28981819413005,0.215668148185269,0.170848526062595,0.323665131622086,6,32
"6x33",0.378672280648659,0.172398148143712,0.187674334880132,0.261255236327496,6,33
