,x,y
27x17,27,17
27x18,27,18
27x19,27,19
27x20,27,20
27x21,27,21
27x22,27,22
27x23,27,23
27x24,27,24
27x25,27,25
27x26,27,26
27x27,27,27
27x28,27,28
27x29,27,29
27x30,27,30
27x31,27,31
27x32,27,32
27x33,27,33
27x34,27,34
27x35,27,35
27x36,27,36
27x37,27,37
27x38,27,38
27x39,27,39
27x40,27,40
27x41,27,41
27x42,27,42
27x43,27,43
27x44,27,44
27x45,27,45
27x46,27,46
27x47,27,47
27x48,27,48
27x49,27,49
28x0,28,0
28x1,28,1
28x2,28,2
28x3,28,3
28x4,28,4
28x5,28,5
28x6,28,6
28x7,28,7
28x8,28,8
28x9,28,9
28x10,28,10
28x11,28,11
28x12,28,12
28x13,28,13
28x14,28,14
28x15,28,15
28x16,28,16
28x17,28,17
28x18,28,18
28x19,28,19
28x20,28,20
28x21,28,21
28x22,28,22
28x23,28,23
28x24,28,24
28x25,28,25
28x26,28,26
28x27,28,27
28x28,28,28
28x29,28,29
28x30,28,30
28x31,28,31
28x32,28,32
28x33,28,33
28x34,28,34
28x35,28,35
28x36,28,36
28x37,28,37
28x38,28,38
28x39,28,39
28x40,28,40
28x41,28,41
28x42,28,42
28x43,28,43
28x44,28,44
28x45,28,45
28x46,28,46
28x47,28,47
28x48,28,48
28x49,28,49
29x0,29,0
29x1,29,1
29x2,29,2
29x3,29,3
29x4,29,4
29x5,29,5
29x6,29,6
29x7,29,7
29x8,29,8
29x9,29,9
29x10,29,10
29x11,29,11
29x12,29,12
29x13,29,13
29x14,29,14
29x15,29,15
29x16,29,16
29x17,29,17
29x18,29,18
29x19,29,19
29x20,29,20
29x21,29,21
29x22,29,22
29x23,29,23
29x24,29,24
29x25,29,25
29x26,29,26
29x27,29,27
29x28,29,28
29x29,29,29
29x30,29,30
29x31,29,31
29x32,29,32
29x33,29,33
29x34,29,34
29x35,29,35
29x36,29,36
29x37,29,37
29x38,29,38
29x39,29,39
29x40,29,40
29x41,29,41
29x42,29,42
29x43,29,43
29x44,29,44
29x45,29,45
29x46,29,46
29x47,29,47
29x48,29,48
29x49,29,49
30x0,30,0
30x1,30,1
30x2,30,2
30x3,30,3
30x4,30,4
30x5,30,5
30x6,30,6
30x7,30,7
30x8,30,8
30x9,30,9
30x10,30,10
30x11,30,11
30x12,30,12
30x13,30,13
30x14,30,14
30x15,30,15
30x16,30,16
30x17,30,17
30x18,30,18
30x19,30,19
30x20,30,20
30x21,30,21
30x22,30,22
30x23,30,23
30x24,30,24
30x25,30,25
30x26,30,26
30x27,30,27
30x28,30,28
30x29,30,29
30x30,30,30
30x31,30,31
30x32,30,32
30x33,30,33
30x34,30,34
30x35,30,35
30x36,30,36
30x37,30,37
30x38,30,38
30x39,30,39
30x40,30,40
30x41,30,41
30x42,30,42
30x43,30,43
30x44,30,44
30x45,30,45
30x46,30,46
30x47,30,47
30x48,30,48
30x49,30,49
31x0,31,0
31x1,31,1
31x2,31,2
31x3,31,3
31x4,31,4
31x5,31,5
31x6,31,6
31x7,31,7
31x8,31,8
31x9,31,9
31x10,31,10
31x11,31,11
31x12,31,12
31x13,31,13
31x14,31,14
31x15,31,15
31x16,31,16
31x17,31,17
31x18,31,18
31x19,31,19
31x20,31,20
31x21,31,21
31x22,31,22
31x23,31,23
31x24,31,24
31x25,31,25
31x26,31,26
31x27,31,27
31x28,31,28
31x29,31,29
31x30,31,30
31x31,31,31
31x32,31,32
31x33,31,33
31x34,31,34
31x35,31,35
31x36,31,36
31x37,31,37
31x38,31,38
31x39,31,39
31x40,31,40
31x41,31,41
31x42,31,42
31x43,31,43
31x44,31,44
31x45,31,45
31x46,31,46
31x47,31,47
31x48,31,48
31x49,31,49
32x0,32,0
32x1,32,1
32x2,32,2
32x3,32,3
32x4,32,4
32x5,32,5
32x6,32,6
32x7,32,7
32x8,32,8
32x9,32,9
32x10,32,10
32x11,32,11
32x12,32,12
32x13,32,13
32x14,32,14
32x15,32,15
32x16,32,16
32x17,32,17
32x18,32,18
32x19,32,19
32x20,32,20
32x21,32,21
32x22,32,22
32x23,32,23
32x24,32,24
32x25,32,25
32x26,32,26
32x27,32,27
32x28,32,28
32x29,32,29
32x30,32,30
32x31,32,31
32x32,32,32
32x33,32,33
