"","Ductal","Cancer","Stroma"
"3x17",0.0748170148658346,0.868525808862143,0.0566571762720219
"3x18",0.102119826463698,0.769135938049518,0.128744235486784
"3x19",0.1509347393106,0.737043114775544,0.112022145913855
"3x20",0.0868360472716238,0.682556929499848,0.230607023228528
"3x21",0.132465959270471,0.4488442616413,0.418689779088229
"3x22",0.0479852022476904,0.754552264478548,0.197462533273762
"3x23",0.113713761370956,0.677017011668643,0.209269226960401
"3x24",0.143999301362139,0.458187528656124,0.397813169981738
"3x25",0.186639407522476,0.300428269904108,0.512932322573416
"3x26",0.174674430424432,0.355393799187336,0.469931770388232
"3x27",0.247775421126297,0.410135110653448,0.342089468220255
"3x28",0.355054190195812,0.322151725680671,0.322794084123518
"3x29",0.158688264433076,0.430575892280518,0.410735843286405
"3x30",0.150317766016006,0.317152412801645,0.53252982118235
"3x31",0.119108988098008,0.362863886744725,0.518027125157267
"3x32",0.141008401301629,0.53819931610936,0.320792282589011
"3x33",0.079866020743754,0.393312558496364,0.526821420759882
"3x34",0.171992137155937,0.205607711810822,0.622400151033241
"3x35",0.234722464051431,0.180499255606018,0.584778280342551
"3x36",0.243382068647902,0.377002672286551,0.379615259065547
"3x37",0.233085304296582,0.250278723554719,0.5166359721487
"3x38",0.210078709490917,0.344706917490581,0.445214373018502
"3x39",0.125066602349992,0.288923683490061,0.586009714159947
"3x40",0.22222331995744,0.169617728688081,0.608158951354479
"3x41",0.235614275804765,0.235745481792908,0.528640242402327
"3x42",0.227656386853697,0.298471044373166,0.473872568773137
"3x43",0.181123852226926,0.284262938270298,0.534613209502776
"3x44",0.288340773013067,0.36923117966693,0.342428047320002
"3x45",0.268671262815904,0.356784237230121,0.374544499953975
"3x46",0.164115127875727,0.408103065794917,0.427781806329355
"3x47",0.32657851353161,0.304177817693202,0.369243668775188
"3x48",0.158940485770012,0.525659870746586,0.315399643483402
"3x49",0.27553081651428,0.278338390945515,0.446130792540205
"4x0",0.234866150741718,0.722726068088817,0.0424077811694646
"4x1",0.110611715110144,0.69020397260774,0.199184312282116
"4x2",0.262127577851943,0.578653675468345,0.159218746679712
"4x3",0.159383409965351,0.765432919978958,0.0751836700556913
"4x4",0.0761497334143449,0.920308225733737,0.00354204085191826
"4x5",0.100529994958698,0.894940186472282,0.00452981856901964
"4x6",0.0287142571595833,0.947462825429045,0.0238229174113715
"4x7",0.108050491454889,0.878916750746707,0.0130327577984041
"4x8",0.0607983407009759,0.93659310186158,0.00260855743744426
"4x9",0.103240354826907,0.867361206475506,0.0293984386975867
"4x10",0.0311571421710927,0.945208779806354,0.023634078022553
"4x11",0.0612527998952967,0.929909239529249,0.00883796057545453
"4x12",0.101989082666428,0.873744093337812,0.0242668239957602
"4x13",0.0455190581160498,0.9281478196034,0.02633312228055
"4x14",0.118214915423951,0.877836155149915,0.00394892942613428
"4x15",0.135273908218027,0.831418661477751,0.0333074303042218
"4x16",0.0752431544909251,0.899883524410327,0.0248733210987483
"4x17",0.125759230526152,0.761623102172766,0.112617667301083
"4x18",0.0257522386061014,0.847512791783323,0.126734969610575
"4x19",0.163022094476854,0.596736922323219,0.240240983199927
"4x20",0.153163749472384,0.775906114326993,0.0709301362006232
"4x21",0.0949773625902907,0.666457340957994,0.238565296451716
"4x22",0.228421662740628,0.561918274251904,0.209660063007467
"4x23",0.0761780240325676,0.492735942406815,0.431086033560617
"4x24",0.150162147108763,0.508834124985309,0.341003727905928
"4x25",0.178702295761403,0.495717420905643,0.325580283332954
"4x26",0.1157006108589,0.378084249387908,0.506215139753192
"4x27",0.143865912618658,0.477550423805869,0.378583663575473
"4x28",0.186954293066032,0.420300925849062,0.392744781084906
"4x29",0.11375500765654,0.280270769411093,0.605974222932367
"4x30",0.178768623549003,0.37831336389707,0.442918012553926
"4x31",0.537603629301337,0.0583198391471728,0.40407653155149
"4x32",0.257320060332148,0.213138234262257,0.529541705405595
"4x33",0.171668687410761,0.380309859963355,0.448021452625884
"4x34",0.179918946136121,0.323476067442359,0.496604986421521
"4x35",0.16689943566461,0.377768681011382,0.455331883324008
"4x36",0.207288912586515,0.261927812420839,0.530783274992646
"4x37",0.159417624687834,0.336756817420416,0.503825557891751
"4x38",0.335989959854333,0.359915826108263,0.304094214037404
"4x39",0.419948225957002,0.19609770873272,0.383954065310278
