,region_ind,region,gene,lfc,pval,padj
13456,1,blue,Zfyve27,0.25655583,1.2969221612690965e-29,9.320979573040996e-26
13457,1,blue,R3hcc1l,0.5517058,7.199384544349818e-32,5.333304070454346e-28
13458,1,blue,Loxl4,-0.44747055,5.774004376147905e-29,4.1174425206310713e-25
13459,1,blue,Pyroxd2,-0.15359141,8.759785137228975e-38,6.989432560994999e-34
13460,1,blue,Hps1,0.14157301,5.4187036972602e-69,5.909096381862248e-65
13461,1,blue,Gm16244,-0.53100306,0.5156215146228924,1.0
13462,1,blue,Got1,0.005124227,5.7520853080518275e-81,6.95657197155788e-77
13463,1,blue,Slc25a28,0.6022905,3.973129703481659e-61,4.018026069131002e-57
13464,1,blue,BC037704,-0.107545935,0.5952073381962526,1.0
13465,1,blue,Entpd7,0.4229313,6.69579623471368e-09,3.308338203932801e-05
13466,1,blue,Cox15,-0.3409641,1.3363594142358947e-24,8.973653466594034e-21
13467,1,blue,Cutc,0.16573247,4.564554819456398e-06,0.020089518643143102
13468,1,blue,Dnmbp,1.9205385,0.8655068870702097,1.0
13469,1,blue,Erlin1,-0.17277041,7.939814412447253e-106,1.083943463587299e-101
13470,1,blue,Chuk,-0.02860406,7.10112619241838e-67,7.585422998741313e-63
13471,1,blue,Cwf19l1,-0.028222295,5.966077021784646e-22,3.8516993252641675e-18
13472,1,blue,Bloc1s2,-0.25766394,4.785207087101977e-106,6.53754992239872e-102
13473,1,blue,Scd3,-0.34244308,0.7021518354551393,1.0
13474,1,blue,Scd2,0.16077963,0.2419387795868302,1.0
13475,1,blue,Scd4,-0.27066046,0.47010921620513035,1.0
13476,1,blue,Scd1,2.0025506,2.2093408685756093e-44,1.8987075424538786e-40
13477,1,blue,Ndufb8,0.014192994,2.2075904197547804e-17,1.3141785768799345e-13
13478,1,blue,Hif1an,0.18542506,4.865343710574266e-33,3.6616576765781926e-29
13479,1,blue,Gm26644,0.034528475,0.7625684432404505,1.0
13480,1,blue,Pax2,0.08996587,0.1857384752370922,1.0
13481,1,blue,Slf2,0.10904998,1.9390061503034082e-35,1.5021480646400504e-31
13482,1,blue,Sema4g,0.30988598,0.003874710872113441,0.9999993173890449
13483,1,blue,Mrpl43,-0.36525518,8.45457734239237e-92,1.097065955948834e-87
13484,1,blue,Twnk,0.32426077,6.799165731289779e-36,5.295870188101608e-32
13485,1,blue,Lzts2,0.40542403,2.8745538094515894e-71,3.20110312220529e-67
13486,1,blue,Sfxn3,1.0438831,1.33533393433194e-36,1.0493054055980385e-32
13487,1,blue,Kazald1,0.09598576,2.588540361120283e-09,1.2932264038447354e-05
13488,1,blue,Gm28578,0.48488864,0.7686001890589232,1.0
13489,1,blue,Btrc,0.36285,2.510058293762864e-27,1.7547817531696182e-23
13490,1,blue,Poll,0.29853487,9.004716678689142e-20,5.602734717480383e-16
13491,1,blue,Gm17018,0.2883023,9.208380369297872e-60,9.199171988928575e-56
13492,1,blue,Fbxw4,0.22250926,2.7645266988368036e-36,2.166559573878403e-32
13493,1,blue,Npm3,-0.49798757,2.3770584786821287e-98,3.170045187170487e-94
13494,1,blue,Gm15491,-0.26622716,0.21052638466116813,1.0
13495,1,blue,Oga,0.067937165,2.1212809910396714e-72,2.387926011613358e-68
13496,1,blue,Kcnip2,-0.069392316,0.7050531193962188,1.0
13497,1,blue,Armh3,-0.19449414,6.174787145927229e-25,4.1729211532176216e-21
13498,1,blue,Hps6,0.12693837,6.266025832254402e-23,4.1048735227098586e-19
13499,1,blue,Ldb1,0.5800547,1.786455402730089e-53,1.68498473585502e-49
13500,1,blue,Pprc1,-0.16535516,2.8088797770374173e-100,3.7731682044943624e-96
13501,1,blue,Nolc1,-0.20204298,1.3374292738604587e-64,1.3986835346032676e-60
13502,1,blue,Elovl3,-0.47146314,0.5923841672396114,1.0
13503,1,blue,Gbf1,0.41935974,2.233655772906864e-55,2.1427459829495548e-51
13504,1,blue,4833438C02Rik,-0.041404717,0.055441390014238395,1.0
13505,1,blue,Nfkb2,0.5007443,8.035242877012751e-59,7.961318642544234e-55
13506,1,blue,Psd,0.007219281,5.930222071224446e-20,3.706388794515278e-16
13507,1,blue,Fbxl15,0.69826573,4.310068763233134e-26,2.965327309104396e-22
13508,1,blue,Cuedc2,0.5018694,4.79676270499554e-47,4.234102439699563e-43
13509,1,blue,Mfsd13a,0.4031175,1.2535694915331685e-14,7.087681904877403e-11
13510,1,blue,2310034G01Rik,-0.4963585,0.045138990126209234,1.0
13511,1,blue,Actr1a,0.6271867,2.0790596373454228e-54,1.976769903188028e-50
13512,1,blue,Sufu,0.59525245,1.1864599398138332e-30,8.646920041363216e-27
13513,1,blue,Trim8,0.43243867,1.5326883495709035e-42,1.2931291605329714e-38
13514,1,blue,Arl3,-0.22707617,2.4251046015889903e-99,3.2486701242886116e-95
13515,1,blue,Sfxn2,-0.063990355,9.931685270683338e-26,6.800224904836882e-22
13516,1,blue,Wbp1l,0.6706151,2.4724268242771972e-58,2.439790790196738e-54
13517,1,blue,Borcs7,-0.08059098,7.070805858721835e-48,6.297966778363539e-44
13518,1,blue,As3mt,0.09333954,2.1361233446831063e-59,2.126510789632032e-55
13519,1,blue,Cnnm2,0.20420499,3.98311905122687e-09,1.978793970204274e-05
13520,1,blue,Gm50431,0.30455756,0.06588982857911058,1.0
13521,1,blue,Nt5c2,-0.009839672,1.3176546576498959e-63,1.3637725706676422e-59
13522,1,blue,Pcgf6,-0.5342499,3.998229214532252e-101,5.388813335346569e-97
13523,1,blue,Taf5,-0.42021418,2.0655248705286098e-55,1.9824907707333597e-51
13524,1,blue,Atp5md,-0.56259245,2.4845588143493777e-66,2.642328299060563e-62
13525,1,blue,Pdcd11,0.2581026,1.1821287581492103e-73,1.342661843505873e-69
13526,1,blue,Calhm2,-0.0174902,1.369751641715777e-50,1.2549664541399948e-46
13527,1,blue,Neurl1a,0.43960682,0.0002184559765735424,0.5877619220188948
13528,1,blue,Sh3pxd2a,0.92087126,1.4791827071150968e-46,1.2982786620349204e-42
13529,1,blue,Stn1,-0.062933706,1.0070215935163627e-62,1.0337076657445463e-58
13530,1,blue,Slk,-0.056925952,9.959029458739129e-79,1.1805433520389363e-74
13531,1,blue,Col17a1,-0.10054839,0.0291794577775073,1.0
13532,1,blue,Sfr1,-0.18467163,5.049315575045658e-43,4.277275223621177e-39
13533,1,blue,Gsto1,0.0041451845,2.2724268319268527e-13,1.2571065226319194e-09
13534,1,blue,Gsto2,0.3287642,0.00044711154054317346,0.8308921495408981
13535,1,blue,Itprip,1.0957234,6.043803933458779e-41,5.007291558870599e-37
13536,1,blue,Cfap58,-0.84318256,9.57834688879488e-68,1.030917475640993e-63
