"","Ductal","Cancer","mDCs","pDCs","Macrophages","Mast","T","Monocytes"
"40x23",0.79915134854985,0.0189602766314156,0,0.0582396090120378,0,0.0404301583605101,0.0832186074461861,0
"40x24",0.794000596330786,0.0253943485715943,0,0.0175093818449116,0,0.0505708614846837,0.112524811768025,0
"40x25",0.753905505641802,0.0275640850927079,0,0.0425500550705118,0,0.0521617588154201,0.123204261567048,0.000614333812509476
"40x26",0.818602161801969,0.00324773957202944,0,0.0220911914241114,0,0.0582891450571171,0.0977697621447732,0
"40x27",0.677084324289358,0.0476866762032656,0,0.0631077501749854,0.00897118221945291,0,0.203150067112938,0
"40x28",0.798177980654809,0,0,0.0586856467460893,0,0.055872267470669,0.0872641051284324,0
"40x29",0.71945341705431,0.0584917262582646,0,0.119930829652133,0,0.00206745967552271,0.0812658096775184,0.0187907576822513
"40x30",0.75655277787567,0.0782101415080792,0,0.0906437471066272,0,0.0619324983582079,0.0119902500782722,0.000670585073143125
"40x31",0.701952375996697,0.0972123747663491,0,0.0217081420162647,0,0.029538121461252,0.149588985759437,0
"40x32",0.849844314890419,0,0,0.0136478549565677,0,0.0018541169760458,0.0961421356414586,0.0385115775355086
"40x33",0.81853725910443,0.0335495041842863,0,0.0438652276716072,0,0.0172788870341828,0.0867691220054941,0
"40x34",0.787983819700242,0.00127330247783951,0,0.0615018209438733,0,0.0430845135240404,0.104430169723528,0.00172637363047707
"40x35",0.824400623489328,0.0174450914644718,0,0.0230160643176803,0,0.00412176304973006,0.130896749704634,0.000119707974155785
"40x36",0.799291124791708,0.0403136899078081,0,0.0262914727757285,0,0.0118474809077226,0.122256231617033,0
"40x37",0.822215977697552,0.0257250065513993,0.000743371124339656,0.0114946083410933,0.0291412119843156,0.0154612495711816,0.0952185747301186,0
"40x38",0.795304546270516,0.0461974281382999,0,0.0665438120012257,0,0.0088756951902428,0.0827581261140723,0.00032039228564339
"40x39",0.677836290601046,0.102029248530661,0.00498122889178599,0.0837415218822252,0.00911849523822315,0.00572636248942004,0.116566852366639,0
"40x40",0.829874218312378,0.0157869539879293,0,0.079382969211775,0,0.0282966915004926,0.0466591669874246,0
"40x41",0.873679406014269,0.00679584375834864,0,0.0715945836386978,0,0.0321459856249728,0.00450724747499956,0.0112769334887121
"40x42",0.788223871575677,0.0353439745556605,0,0.0200700183042268,0,0.0200736230749868,0.136288512489449,0
"40x43",0.69808355659582,0.0502217759921836,0,0.0610717928882982,0,0.0170028318778778,0.17362004264582,0
"40x44",0.553785126360053,0.13880684477721,0.0824626221012588,0.0697222958717577,0,0,0.155223110889721,0
"40x45",0.666156774469532,0.0822272931689582,0,0.0557421372384711,0,0.0405586354397091,0.149207776655573,0.00610738302775661
"40x46",0.510746998169176,0.125124143589061,0.000119790825923079,0.0793419676666149,0.0297093247117742,0.0422272284478049,0.136996316638421,0.0757342299512244
"40x47",0.674257256687823,0.0761082468522176,0,0.0961500709001889,0.062276266084705,0.0186487603995613,0.0632263318001601,0.00933306727534433
"40x48",0.536371306524204,0.118695480181446,0.0776451922731689,0.0668740367268981,0.036890443878311,0.0409228526948181,0.0420169631196904,0.0805837246014634
"40x49",0.492582903675162,0.123433596552036,0.0947458926247091,0.0356316215121347,0,0.010291489128421,0.237368231084576,0.00594626542296164
"41x0",0.408324773877419,0.177671535548886,0.165115957157422,0.213316866356901,0,0,0.00395276963617082,0.031618097423202
"41x1",0.361862337260642,0.268604839009487,0,0.0514694961832845,0.163627515681531,0.0725293542918028,0.0819064575732526,0
"41x2",0.430020548785487,0.251242534854631,0,0.108116188647153,0.0540541080900259,0.0183893329442447,0.105148783428591,0.0330285032498673
"41x3",0.314648026177651,0.328006493899745,0.233864981757852,0.000521782488572988,0.106190983648968,0.0101030645756212,0.00666466745159009,0
"41x4",0.534386613419436,0.0825412608961233,0.000903028592648647,0.0376348909772757,0.198689034831137,0.0242603793330646,0.121584791950314,0
"41x5",0.386448931730805,0.126732527919942,0.174226658242335,0.0778677315710724,0,0.0960722834629585,0.138651867072887,0
