	Macrophages	Mast	Monocytes	mDCs
7x8	0.14777836	0.2304811	0.2662155	0.355525
7x9	0.13794011	0.2549285	0.25916207	0.34796926
7x10	0.11236891	0.24318932	0.28775448	0.3566873
7x11	0.11063409	0.25371182	0.25602135	0.37963274
7x12	0.20421837	0.28185987	0.37600127	0.13792048
7x13	0.1720413	0.27033523	0.27984768	0.27777576
7x14	0.16842352	0.23457381	0.28938997	0.30761278
7x15	0.15308657	0.2781459	0.2867116	0.28205597
7x16	0.14365838	0.20011723	0.29301786	0.36320648
7x17	0.14641462	0.26243487	0.28848734	0.30266315
7x18	0.14644232	0.25311896	0.2670336	0.33340517
7x19	0.12492794	0.18761845	0.30785558	0.37959805
7x20	0.160771	0.25231478	0.3038321	0.28308213
7x21	0.15048417	0.25370976	0.33994925	0.25585678
7x22	0.14321356	0.3342312	0.37784305	0.14471222
7x23	0.21367973	0.23123355	0.26675573	0.288331
7x24	0.14178583	0.20275865	0.32957283	0.32588273
7x25	0.09025747	0.14853023	0.48010886	0.28110346
7x26	0.14943056	0.14904924	0.4860251	0.21549508
7x27	0.115944654	0.18325074	0.24551204	0.45529258
7x28	0.28005677	6.333282e-12	0.7199432	3.583731e-12
7x29	0.17834212	0.11076716	0.53352755	0.17736319
7x30	0.1849524	0.3601693	0.38867408	0.06620425
7x31	0.100515395	0.20060728	0.40270928	0.29616812
7x32	0.109706454	0.11540858	0.539488	0.23539695
7x33	0.04828521	2.8161592e-12	0.47843364	0.47328115
7x34	0.06930059	0.2681666	0.5730314	0.08950144
7x35	0.04890585	0.09616363	0.54305255	0.31187797
7x36	0.038862504	0.1104587	0.3407727	0.50990605
7x37	0.10336271	0.15702544	0.4342058	0.305406
7x38	0.17370515	0.08590589	0.59279424	0.14759475
7x39	0.10301629	0.21030773	0.36971316	0.31696287
7x40	0.1913758	0.034448694	0.58408636	0.19008909
7x41	0.1295368	0.15671778	0.5446186	0.16912682
7x42	0.104344204	0.1932947	0.65600693	0.046354152
7x43	0.13697377	0.22186472	0.3256141	0.31554747
7x44	0.14599623	0.22235858	0.38972557	0.24191958
7x45	0.14939433	0.20209031	0.29922563	0.34928977
7x46	2.7412258e-11	3.574583e-12	0.43101463	0.5689854
7x47	0.07590572	1.7360527e-12	0.54492944	0.37916481
7x48	0.30884454	0.15114763	0.38439104	0.1556168
7x49	0.1357428	0.12650152	0.4543874	0.28336835
8x0	0.17174853	0.17367566	0.34270483	0.31187093
8x1	0.14646493	0.2740339	0.3067975	0.27270365
8x2	0.09222278	0.27847528	0.33047557	0.29882634
8x3	0.112555705	0.2704479	0.28207326	0.33492315
8x4	0.1063405	0.26561266	0.32235417	0.30569267
8x5	0.14659704	0.2306127	0.2713488	0.35144144
8x6	0.16310251	0.24843667	0.2759369	0.31252393
8x7	0.12926368	0.20181589	0.3498848	0.31903562
8x8	0.13686776	0.2347523	0.26179394	0.366586
