	Macrophages	Mast	Monocytes	mDCs
6x20	3.9825324e-11	1.5521927e-11	4.7986497e-11	1.0
6x21	0.29394516	1.9926576e-12	0.47956538	0.22648951
6x22	0.11399523	1.6104086e-12	3.3846272e-12	0.8860048
6x23	0.008199465	3.8822664e-13	2.8927436e-12	0.99180055
6x24	0.34358823	1.1298439e-12	0.19793347	0.4584783
6x25	0.24079685	8.128817e-13	0.053567883	0.70563525
6x26	0.18081777	4.594788e-13	0.015588101	0.8035941
6x27	0.20195791	4.601052e-13	0.03307514	0.76496696
6x28	0.36669445	7.104917e-13	0.089713074	0.5435924
6x29	0.40480798	0.5450063	0.050185807	3.4469018e-12
6x30	0.2162566	4.5067566e-13	0.06836873	0.71537465
6x31	0.18882544	5.92795e-13	0.059842903	0.7513316
6x32	0.20987602	0.08694769	0.073326476	0.6298498
6x33	0.1295405	0.08155668	0.055193473	0.73370934
6x34	0.41513595	0.10100131	0.030934388	0.45292836
6x35	0.13811257	8.345632e-13	0.10445863	0.7574288
6x36	0.101986915	0.31927446	5.6072954e-12	0.5787386
6x37	0.45374608	0.1412235	0.11127468	0.2937557
6x38	0.33921042	0.35276037	0.09574758	0.21228164
6x39	0.16597074	5.0531796e-13	0.24539688	0.58863235
6x40	0.07415007	4.2058867e-13	0.15465868	0.7711913
6x41	0.14445691	3.771764e-13	0.041006036	0.814537
6x42	0.18894535	5.7207695e-13	0.012587659	0.7984669
6x43	0.23321415	6.486122e-13	0.013029263	0.75375664
6x44	0.022292532	5.1301124e-13	0.07052462	0.9071828
6x45	0.3020283	5.377089e-13	0.020381397	0.6775903
6x46	0.16543576	3.1257158e-13	0.0010109555	0.83355325
6x47	0.10381325	0.24883297	0.058985054	0.5883688
6x48	0.28565568	0.40591073	0.061326742	0.24710678
6x49	9.864785e-12	0.25242677	0.18952644	0.55804676
7x0	0.3092055	0.16624485	0.18569916	0.33885044
7x1	0.022143828	2.5591248e-12	0.10069356	0.87716264
7x2	0.27801126	0.25717676	0.21131754	0.2534945
7x3	0.23433548	0.19313101	0.04010259	0.53243095
7x4	0.24268442	0.36533782	0.03129174	0.36068597
7x5	0.45337623	0.10987663	0.15033142	0.2864157
7x6	0.31297415	0.16310635	0.33992207	0.18399747
7x7	1.1434637e-10	3.9594383e-11	1.0	6.69495e-11
7x8	0.28946176	0.19484094	0.190565	0.3251323
7x9	0.3719002	0.20026076	0.19894427	0.2288948
7x10	0.31093043	0.21302158	0.22298637	0.25306156
7x11	0.31902054	0.19846669	0.20511499	0.2773978
7x12	0.19909562	0.1423767	0.04450016	0.61402756
7x13	0.38502514	0.13756776	0.23230164	0.24510543
7x14	0.35179195	0.20912112	0.2122932	0.22679369
7x15	0.29896393	0.21554153	0.20274608	0.28274852
7x16	0.32438987	0.16612357	0.2508288	0.25865775
7x17	6.888961e-11	2.2930519e-11	1.0	4.8256253e-11
