	Cancer	Ductal	Macrophages	Mast	Monocytes	mDCs
5x27	0.32652515	0.2628607	0.17732167	0.033676215	0.03520205	0.16441424
5x28	0.23443937	0.17925346	0.1363351	0.15502653	0.08232166	0.21262382
5x29	0.22438374	0.18868297	0.09280633	0.30649385	0.082232945	0.105400264
5x30	0.35757756	0.07334281	0.1352337	7.1347012e-12	0.06579151	0.36805436
5x31	0.22248594	0.21759178	0.25231576	0.058294743	0.07562693	0.17368492
5x32	0.24062346	0.25458592	0.16234717	0.14056414	0.05232648	0.14955282
5x33	0.28438237	0.28403124	0.20959812	5.3916656e-11	0.04775713	0.1742311
5x34	0.19459473	0.21739	0.07042233	0.20756994	0.054451052	0.25557196
5x35	0.20311122	0.1568238	0.14931136	0.12390533	0.09728087	0.2695674
5x36	0.3166452	0.1983452	0.2137265	6.311085e-12	0.066803105	0.20448005
5x37	0.20690824	0.17437497	0.13011387	0.082974695	0.15225862	0.25336957
5x38	0.18817587	0.26974803	0.16600849	0.08109446	0.11156262	0.1834105
5x39	0.26483822	0.23655681	0.057088554	0.110877745	0.08544353	0.2451952
5x40	0.35357794	0.20285918	0.21911535	0.03562566	0.113847576	0.07497442
5x41	0.31812903	0.15376167	0.1190739	2.0805137e-11	0.07171462	0.3373208
5x42	0.0704367	0.309151	0.19066611	0.090536706	0.114588305	0.22462118
5x43	0.12989596	0.30469188	0.12548392	0.042355776	0.08893415	0.30863833
5x44	0.233357	0.19251534	0.19218852	0.030213298	0.041593663	0.3101322
5x45	0.169303	0.18859132	0.13880026	1.9546207e-11	0.08930167	0.41400376
5x46	0.21681194	0.2643128	0.20832436	0.23225841	0.07829245	1.6019927e-11
5x47	0.26819897	0.22350271	0.24568555	0.060257502	0.058022752	0.14433248
5x48	0.24831665	0.20773277	0.075664714	0.13511331	0.011978271	0.32119432
5x49	0.25521952	0.40453887	0.07776	0.16294596	0.099535696	2.396167e-12
