"","Cancer","Ductal","Macrophages","Mast","mDCs","Monocytes","pDCs","T"
"17x4",0.758642099738922,0.0416134981012091,9.97403328720149e-05,9.97403309833943e-05,0.10796076078579,9.97403328720149e-05,0.000840830492202046,9.9740333007906e-05
"17x5",0.791782197945277,0.0304985284780619,0.0280778085971213,9.97403328875051e-05,9.97403328748785e-05,0.0763039319993845,9.97403328720155e-05,9.97403328720151e-05
"17x6",0.943523631519131,0.0108554789238792,6.98182330104143e-05,6.98182310444612e-05,6.98182330393235e-05,6.98182325851501e-05,6.98182329361085e-05,6.981823301041e-05
"17x7",0.949632128306783,6.98182330104104e-05,6.98182330104126e-05,6.98182330806878e-05,6.98182330137824e-05,6.98182330104102e-05,6.98182330104106e-05,6.98182330104102e-05
"17x8",0.992210873810561,6.98182330104105e-05,6.98182330104106e-05,6.98182330615208e-05,6.98182330194162e-05,6.98182330109347e-05,6.98182330104099e-05,6.98182330104105e-05
"17x9",0.940434966075317,8.62459205503532e-05,6.98182330104114e-05,6.98182330056936e-05,6.98182327265685e-05,0.01327730174938,6.98182330104106e-05,6.98182330104069e-05
"17x10",0.902063006758014,0.0126946455710707,6.98182330104103e-05,6.98182340044684e-05,6.98182330377599e-05,6.98182329812218e-05,6.98182330104105e-05,6.98182330104113e-05
"17x11",0.929545711690484,6.98182330104106e-05,6.9818233010412e-05,6.98182335027561e-05,0.00174612612696186,6.98182329900698e-05,0.0111986570995107,6.98182330104983e-05
"17x12",0.937759177902887,0.0159010394131643,6.98182330104104e-05,6.98182320242832e-05,6.98182330054647e-05,6.98182329807543e-05,6.98182330104106e-05,6.98182329422026e-05
"17x13",0.969038727796442,7.41285027746687e-05,6.98182330104088e-05,6.98182329403641e-05,6.98182330136783e-05,6.98182330109791e-05,6.98182330104114e-05,6.9818233010405e-05
"17x14",0.870623241348384,0.00905237117547555,6.98182330104103e-05,6.98182321446576e-05,6.98182329872707e-05,0.0194879115464078,6.98182330104102e-05,6.9818232935068e-05
"17x15",0.948773343421594,8.86825955855066e-05,6.98182330104104e-05,6.98182321828206e-05,0.000942083612155384,6.98182330104093e-05,6.98182330095584e-05,6.98182330104095e-05
"17x16",0.805706201257315,6.98182330104106e-05,0.12492515531242,6.98182330916137e-05,6.98182330104087e-05,6.98182330123957e-05,6.98182330104128e-05,6.98182325310237e-05
"17x17",0.725583366582605,0.000173200282857515,9.9740332872015e-05,9.97403357363631e-05,0.188939702610411,0.00996644882246756,9.97403328720149e-05,9.97403324627128e-05
"17x18",0.593480882654487,0.0672823020439261,0.170044517392177,9.97403397385587e-05,0.174791667240238,9.9740332872015e-05,9.97403328720149e-05,9.9740332872017e-05
"17x19",0.600075111517728,0.000142486189817164,0.0965000999147106,0.190524894489301,0.0596878894629718,0.000142486189817165,0.00910849228800827,0.000142486189817168
"17x20",0.464581642417248,0.00808556757544716,0.0358758109608941,0.100943214464103,0.264075433996916,0.0828108566901452,0.000203551699738806,0.000203551699738807
"17x21",0.201550939343667,0.187115291516254,0.191339283513264,0.000290788146664651,0.284041677921091,0.0279130555365024,0.029587971085069,0.00164067834214644
